"...1","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17"
"RB HF",NA,NA,"RB LF",NA,NA,"LB HF",NA,NA,"LB LF",NA,NA,"RB LF LR",NA,NA,"LB LF LR",NA
"Sum of Salmon/Hour",NA,NA,"Sum of Salmon/Hour",NA,NA,"Sum of Salmon/Hour",NA,NA,"Sum of Salmon/Hour",NA,NA,"Sum of Salmon/Hour",NA,NA,"Sum of Salmon/Hour",NA
"Date","Total",NA,"Date","Total",NA,"Date","Total",NA,"Date","Total",NA,"Date","Total",NA,"Date","Total"
"Formula1",NA,NA,"45107",NA,NA,"45107",NA,NA,"45107",NA,NA,"45107",NA,NA,"45107",NA
"45107",NA,NA,"45108","306",NA,"45108","735",NA,"45108","306",NA,"45108","6",NA,"45108","6"
"45108","735",NA,"45109","492",NA,"45109","976.5",NA,"45109","492",NA,"45109","48",NA,"45109","48"
"45109","976.5",NA,"45110","391.5",NA,"45110","726",NA,"45110","391.5",NA,"45110","12",NA,"45110","12"
"45110","726",NA,"45111","398.75",NA,"45111","942",NA,"45111","398.75",NA,"45111","15",NA,"45111","15"
"45111","942",NA,"45112","483",NA,"45112","894",NA,"45112","483",NA,"45112","18",NA,"45112","18"
"45112","894",NA,"45113","531",NA,"45113","1200",NA,"45113","531",NA,"45113","66",NA,"45113","66"
"45113","1200",NA,"45114","642",NA,"45114","1257",NA,"45114","642",NA,"45114","57",NA,"45114","57"
"45114","1257",NA,"45115","510",NA,"45115","1263",NA,"45115","619",NA,"45115","90",NA,"45115","132"
"45115","1153.8461538461538",NA,"45116","441",NA,"45116","966",NA,"45116","403.5",NA,"45116","12",NA,"45116","90"
"45116","1518",NA,"45117","601.5",NA,"45117","894",NA,"45117","453",NA,"45117","18",NA,"45117","78"
"45117","2461.5",NA,"45118","510",NA,"45118","1467",NA,"45118","498",NA,"45118","48",NA,"45118","126"
"45118","2409",NA,"45119","468",NA,"45119","2256",NA,"45119","471",NA,"45119","18",NA,"45119","126"
"45119","2370",NA,"45120","444",NA,"45120","2097",NA,"45120","423",NA,"45120","12",NA,"45120","90"
"45120","2766",NA,"45121","435",NA,"45121","2400",NA,"45121","462",NA,"45121","42",NA,"45121","72"
"45121","2427",NA,"45122","435",NA,"45122","1930.5",NA,"45122","555",NA,"45122","42",NA,"45122","138"
"45122","2076",NA,"45123","429",NA,"45123","2400",NA,"45123","444",NA,"45123","-6",NA,"45123","96"
"45123","2688",NA,"45124","540",NA,"45124","1623",NA,"45124","330",NA,"45124","30",NA,"45124","36"
"45124","3930",NA,"45125","555",NA,"45125","2145",NA,"45125","621",NA,"45125","48",NA,"45125","126"
"45125","2229",NA,"45126","741",NA,"45126","2976",NA,"45126","717",NA,"45126","66",NA,"45126","258"
"45126","2586",NA,"45127","765",NA,"45127","3435",NA,"45127","618",NA,"45127","60",NA,"45127","120"
"45127","4788",NA,"45128","649.5",NA,"45128","4078.9950980392159",NA,"45128","604.58823529411757",NA,"45128","0",NA,"45128","253.5"
"45128","3963",NA,"45129","348",NA,"45129","3879",NA,"45129","633",NA,"45129","24",NA,"45129","30"
"45129","3615",NA,"45130","360",NA,"45130","3678",NA,"45130","795",NA,"45130","24",NA,"45130","114"
"45130","3846",NA,"45131","678",NA,"45131","2835",NA,"45131","834",NA,"45131","6",NA,"45131","132"
"45131","4716",NA,"45132","822",NA,"45132","4707",NA,"45132","744",NA,"45132","-30",NA,"45132","78"
"45132","5784",NA,"45133","762",NA,"45133","5058",NA,"45133","987",NA,"45133","36",NA,"45133","66"
"45133","4851",NA,"45134","477",NA,"45134","5217",NA,"45134","714",NA,"45134","30",NA,"45134","144"
"45134","3738",NA,"45135","393",NA,"45135","4842",NA,"45135","858",NA,"45135","24",NA,"45135","132"
"45135","2880",NA,"45136","492",NA,"45136","4746",NA,"45136","921",NA,"45136","36",NA,"45136","114"
"45136","3189",NA,"45137","381",NA,"45137","3702",NA,"45137","717",NA,"45137","36",NA,"45137","36"
"45137","3468",NA,"45138","627",NA,"45138","3609",NA,"45138","747",NA,"45138","66",NA,"45138","132"
"45138","3432",NA,"45139","501",NA,"45139","4827",NA,"45139","1035",NA,"45139","24",NA,"45139","78"
"45139","3114",NA,"45140","555",NA,"45140","5553",NA,"45140","1152",NA,"45140","-6",NA,"45140","144"
"45140","4086",NA,"45141","622.5",NA,"45141","6132",NA,"45141","759",NA,"45141","54",NA,"45141","108"
"45141","3978",NA,"45142","1110",NA,"45142","5283",NA,"45142","1029",NA,"45142","30",NA,"45142","180"
"45142","4089",NA,"45143","942",NA,"45143","8409",NA,"45143","978",NA,"45143","36",NA,"45143","138"
"45143","3984",NA,"45144","930",NA,"45144","9630",NA,"45144","963",NA,"45144","24",NA,"45144","156"
"45144","4722",NA,"45145","1053",NA,"45145","10071",NA,"45145","1119",NA,"45145","30",NA,"45145","102"
"45145","6688.6666666666661",NA,"45146","951",NA,"45146","14518.5",NA,"45146","1584",NA,"45146","66",NA,"45146","210"
"45146","7884",NA,"45147","1578",NA,"45147","17799",NA,"45147","1680",NA,"45147","114",NA,"45147","300"
"45147","9726",NA,"45148","1770",NA,"45148","17118",NA,"45148","1788",NA,"45148","48",NA,"45148","240"
"45148","7050",NA,"45149","1329",NA,"45149","9813",NA,"45149","1791",NA,"45149","156",NA,"45149","270"
"45149","5859",NA,"45150","2742",NA,"45150","10707",NA,"45150","4101",NA,"45150","252",NA,"45150","546"
"45150","4863",NA,"45151","1731",NA,"45151","20046.272727272728",NA,"45151","2706",NA,"45151","102",NA,"45151","384"
"45151","10065",NA,"45152","993",NA,"45152","21312",NA,"45152","1746",NA,"45152","48",NA,"45152","180"
"45152","13632",NA,"45153","969",NA,"45153","20133",NA,"45153","2106",NA,"45153","42",NA,"45153","216"
"45153","16632",NA,"45154","1272",NA,"45154","18933",NA,"45154","2451",NA,"45154","-6",NA,"45154","390"
"45154","10605",NA,"45155","1383",NA,"45155","18483",NA,"45155","1764",NA,"45155","150",NA,"45155","156"
"45155","9492",NA,"45156","1617",NA,"45156","16656",NA,"45156","2136",NA,"45156","222",NA,"45156","408"
"45156","13245",NA,"45157","5400",NA,"45157","9396",NA,"45157","6516",NA,"45157","552",NA,"45157","1128"
"45157","15042",NA,"45158","2400",NA,"45158","30705",NA,"45158","3765",NA,"45158","234",NA,"45158","336"
"45158","23607",NA,"45159","2136",NA,"45159","30264",NA,"45159","1857",NA,"45159","114",NA,"45159","156"
"45159","34974",NA,"45160","2184",NA,"45160","34314",NA,"45160","3201",NA,"45160","156",NA,"45160","660"
"45160","21447",NA,"45161","5388",NA,"45161","21195",NA,"45161","10137",NA,"45161","432",NA,"45161","2826"
"45161","25476",NA,"45162","2154",NA,"45162","23706",NA,"45162","4329",NA,"45162","444",NA,"45162","450"
"45162","29484",NA,"45163","1326",NA,"45163","58809",NA,"45163","3756",NA,"45163","204",NA,"45163","594"
"45163","44802",NA,"45164","8040",NA,"45164","63985.5",NA,"45164","11100",NA,"45164","402",NA,"45164","1242"
"45164","69129",NA,"45165","5424",NA,"45165","92005.5",NA,"45165","10767",NA,"45165","186",NA,"45165","882"
"45165","54927",NA,"45166","1989",NA,"45166","62922",NA,"45166","2748",NA,"45166","30",NA,"45166","120"
"45166","48141",NA,"45167","1434",NA,"45167","39387",NA,"45167","1653",NA,"45167","30",NA,"45167","18"
"45167","41073",NA,"45168","1977",NA,"45168","22122",NA,"45168","849",NA,"45168","48",NA,"45168","30"
"45168","59364",NA,"45169","1809",NA,"45169","83139",NA,"45169","1413",NA,"45169","6",NA,"45169","90"
"45169","95310",NA,"45170","1833",NA,"45170","184218",NA,"45170","2295",NA,"45170","6",NA,"45170","222"
"45170","130038",NA,"45171","6168",NA,"45171","72192",NA,"45171","3111",NA,"45171","132",NA,"45171","360"
"45171","209154",NA,"45172","2817",NA,"45172","130476",NA,"45172","3456",NA,"45172","66",NA,"45172","486"
"45172","97671",NA,"45173","3567",NA,"45173","144176.38141025641",NA,"45173","5993.6470588235297",NA,"45173","222",NA,"45173","444"
"45173","247242",NA,"45174","2550",NA,"45174","242088",NA,"45174","8433",NA,"45174","60",NA,"45174","1602"
"45174","268938",NA,"45175","2715",NA,"45175","249823.5",NA,"45175","8514",NA,"45175","42",NA,"45175","3420"
"45175","267855",NA,"45176","2556",NA,"45176","187809",NA,"45176","3537",NA,"45176","24",NA,"45176","516"
"45176","284196",NA,"45177","4542",NA,"45177","116943",NA,"45177","4104",NA,"45177","90",NA,"45177","648"
"45177","146103",NA,"45178","2772",NA,"45178","108331.5",NA,"45178","4104",NA,"45178","66",NA,"45178","282"
"45178","83208",NA,"45179","2358",NA,"45179","93876",NA,"45179","4491",NA,"45179","168",NA,"45179","1062"
"45179","109155",NA,"45180","2475",NA,"45180","102732",NA,"45180","2547",NA,"45180","60",NA,"45180","234"
"45180","142434",NA,"45181","2445",NA,"45181","105384",NA,"45181","3657",NA,"45181","120",NA,"45181","882"
"45181","137796",NA,"45182","3225",NA,"45182","71325",NA,"45182","3270",NA,"45182","156",NA,"45182","252"
"45182","131868",NA,"45183","3807",NA,"45183","129156",NA,"45183","2160",NA,"45183","132",NA,"45183","-12"
"45183","147228",NA,"45184","6111",NA,"45184","122271",NA,"45184","2154",NA,"45184","420",NA,"45184","258"
"45184","151944",NA,"45185","3120",NA,"45185","145395",NA,"45185","1530",NA,"45185","84",NA,"45185","0"
"45185","115944",NA,"45186","2484.2307692307695",NA,"45186","82296",NA,"45186","1605",NA,"45186","6",NA,"45186","48"
"45186","98034",NA,"45187","3176",NA,"45187","81180",NA,"45187","888",NA,"45187","-132",NA,"45187","-324"
"45187","66633",NA,"45188","1866.8571428571429",NA,"45188","85510.28571428571",NA,"45188","1500",NA,"45188","129",NA,"45188","-36"
"45188","64839",NA,"45189","1599",NA,"45189","71880",NA,"45189","849",NA,"45189","24",NA,"45189","-66"
"45189","90255",NA,"45190","1704",NA,"45190","67950",NA,"45190","2367",NA,"45190","-18",NA,"45190","108"
"45190","85551",NA,"45191","732",NA,"45191","61125",NA,"45191","612",NA,"45191","-72",NA,"45191","84"
"45191","54654",NA,"45192","963",NA,"45192","50421",NA,"45192","1527",NA,"45192","-102",NA,"45192","-84"
"45192","45954",NA,"45193","651",NA,"45193","50262",NA,"45193","801",NA,"45193","-72",NA,"45193","78"
"45193","35616",NA,"45194","873",NA,"45194","36312",NA,"45194","2255.3333333333335",NA,"45194","0",NA,"45194","-21"
"45194","30018",NA,"45195","699",NA,"45195","26610",NA,"45195","748",NA,"45195","-156",NA,"45195","-156"
"45195","18712.5",NA,"45196","243",NA,"45196","22502.538461538461",NA,"45196","285",NA,"45196","-168",NA,"45196","-48"
"45196","12510",NA,"45197","1287",NA,"45197","23397",NA,"45197","465",NA,"45197","-48",NA,"45197","-108"
"45197","8535",NA,"45198","1308",NA,"45198","19245",NA,"45198","564",NA,"45198","-114",NA,"45198","-18"
"45198","8508",NA,"45199","909",NA,"45199","25161",NA,"45199","351",NA,"45199","-72",NA,"45199","-438"
"45199","5640",NA,"45200","564",NA,"45200","17874",NA,"45200","333",NA,"45200","-12",NA,"45200","-84"
"45200","6672",NA,"45201","718.5",NA,"45201","11784",NA,"45201","540",NA,"45201","-72",NA,"45201","-102"
"45201","6799.5",NA,"45202","469.5",NA,"45202","9633",NA,"45202","252",NA,"45202","-42",NA,"45202","-96"
"45202","8212.5",NA,"45203","474",NA,"45203","7320",NA,"45203","109.5",NA,"45203","-60",NA,"45203","-66"
"45203","6345",NA,"45204","84",NA,"45204","813",NA,"45204","24",NA,"45204","-12",NA,"45204","-18"
"45204","678",NA,"45205",NA,NA,"45205",NA,NA,"45205",NA,NA,"45205",NA,NA,"45205",NA
"45205",NA,NA,"45206",NA,NA,"45206",NA,NA,"45206",NA,NA,"45206",NA,NA,"45206",NA
"45206",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
